Game Number,Player 1 Score,Player 2 Score,Player 2 Win
397,34,30,0
398,32,32,0
399,26,38,1
400,15,49,1
401,29,35,1
402,26,38,1
403,23,40,1
404,21,43,1
405,19,45,1
406,36,28,0
407,21,43,1
408,31,33,1
409,25,39,1
410,39,25,0
411,36,28,0
412,27,37,1
413,30,34,1
414,36,28,0
415,22,42,1
416,32,32,0
417,25,39,1
418,32,32,0
419,36,28,0
420,0,26,1
421,35,29,0
422,14,50,1
423,46,18,0
424,17,47,1
425,26,38,1
426,26,38,1
427,42,22,0
428,32,32,0
429,22,42,1
430,25,39,1
431,0,40,1
432,21,43,1
433,0,18,1
434,17,47,1
435,48,16,0
436,21,43,1
437,26,38,1
438,27,37,1
439,51,13,0
440,31,33,1
441,31,33,1
442,51,13,0
443,43,21,0
444,33,31,0
445,32,32,0
446,25,39,1
447,16,48,1
448,34,30,0
449,25,39,1
450,26,38,1
451,32,32,0
452,37,27,0
453,33,31,0
454,16,48,1
455,26,38,1
456,22,42,1
457,34,30,0
458,23,41,1
459,50,14,0
460,18,46,1
461,27,37,1
462,37,27,0
463,29,35,1
464,17,47,1
465,41,23,0
466,26,38,1
467,14,50,1
468,22,42,1
469,28,36,1
470,23,41,1
471,24,40,1
472,31,33,1
473,27,37,1
474,21,43,1
475,0,18,1
476,26,38,1
477,28,36,1
478,48,16,0
479,18,45,1
480,29,35,1
481,37,27,0
482,41,23,0
483,17,32,1
484,38,26,0
485,13,51,1
486,47,17,0
487,28,36,1
488,37,27,0
489,56,8,0
490,30,34,1
491,28,36,1
492,32,32,0
493,21,43,1
494,20,44,1
495,30,34,1
496,36,28,0
497,41,23,0
498,18,46,1
499,24,40,1
500,40,24,0
501,17,47,1
502,18,46,1
503,33,31,0
504,20,44,1
505,36,28,0
506,30,34,1
507,18,46,1
508,22,42,1
509,34,30,0
510,41,23,0
511,34,30,0
512,19,45,1
513,46,18,0
514,31,33,1
515,37,27,0
516,30,34,1
517,0,26,1
518,49,15,0
519,49,15,0
