Game Number,Player 1 Score,Player 2 Score,Player 2 Win
397,31,33,1
398,33,31,0
399,10,54,1
400,27,37,1
401,30,34,1
402,24,40,1
403,33,31,0
404,20,44,1
405,32,32,0
406,19,45,1
407,49,15,0
408,25,39,1
409,25,39,1
410,28,36,1
411,33,31,0
412,29,35,1
413,18,46,1
414,34,30,0
415,28,36,1
416,17,47,1
417,33,31,0
418,21,43,1
419,42,22,0
420,34,30,0
421,7,57,1
422,26,38,1
423,21,43,1
424,21,43,1
425,45,19,0
426,35,29,0
427,43,21,0
428,42,22,0
429,41,23,0
430,21,43,1
431,29,35,1
432,24,40,1
433,27,37,1
434,29,35,1
435,28,36,1
436,40,24,0
437,31,33,1
438,35,29,0
439,42,22,0
440,30,34,1
441,36,28,0
442,26,38,1
443,34,30,0
444,46,18,0
445,25,39,1
446,25,39,1
447,41,23,0
448,22,42,1
449,31,33,1
450,35,29,0
451,40,24,0
452,27,37,1
453,18,46,1
454,48,16,0
455,41,23,0
456,42,22,0
457,36,28,0
458,48,16,0
459,39,25,0
460,41,23,0
461,22,42,1
462,30,34,1
463,17,47,1
464,28,36,1
465,44,20,0
466,23,41,1
467,35,29,0
468,40,24,0
469,22,42,1
470,43,21,0
471,38,26,0
472,27,37,1
473,20,44,1
474,33,31,0
475,39,25,0
476,34,30,0
477,30,34,1
478,29,35,1
479,47,17,0
480,27,37,1
481,22,42,1
482,22,42,1
483,42,22,0
484,42,22,0
485,49,15,0
486,18,46,1
487,52,12,0
488,38,26,0
489,49,15,0
490,35,29,0
491,32,32,0
492,19,45,1
493,29,35,1
494,21,43,1
495,20,44,1
496,42,22,0
497,44,20,0
498,22,42,1
499,38,26,0
500,36,28,0
501,45,19,0
502,37,27,0
503,16,48,1
504,28,36,1
505,29,35,1
506,35,29,0
507,25,39,1
508,24,40,1
509,28,36,1
510,16,48,1
511,21,43,1
512,32,32,0
513,29,35,1
514,52,12,0
515,11,53,1
516,27,37,1
517,23,41,1
518,29,35,1
519,49,15,0
520,32,32,0
521,24,40,1
522,16,48,1
523,28,36,1
524,24,40,1
525,28,36,1
526,29,35,1
527,36,28,0
528,24,40,1
529,27,37,1
530,31,33,1
531,48,16,0
532,34,30,0
533,37,27,0
534,40,24,0
535,18,46,1
536,22,42,1
537,40,24,0
538,37,27,0
539,29,35,1
540,34,30,0
541,26,38,1
542,36,28,0
543,46,18,0
544,13,51,1
545,47,17,0
546,28,36,1
547,44,20,0
548,39,25,0
549,29,35,1
550,33,31,0
551,28,36,1
552,18,46,1
553,25,39,1
554,32,32,0
555,32,32,0
556,32,32,0
557,42,22,0
558,51,13,0
559,23,41,1
560,37,27,0
561,35,29,0
562,33,31,0
563,13,51,1
564,26,38,1
565,21,43,1
566,34,30,0
567,23,41,1
568,34,30,0
569,32,32,0
570,25,39,1
571,31,33,1
572,29,35,1
573,21,43,1
574,25,39,1
575,40,24,0
576,41,23,0
577,30,34,1
578,42,22,0
579,47,17,0
580,15,49,1
581,39,25,0
582,29,35,1
583,36,28,0
584,30,34,1
585,17,47,1
586,24,40,1
587,20,44,1
588,17,47,1
589,31,33,1
590,35,29,0
591,39,25,0
592,47,17,0
593,33,31,0
594,26,38,1
595,29,35,1
596,8,56,1
597,35,29,0
598,31,33,1
599,50,14,0
600,33,31,0
601,26,38,1
602,31,33,1
603,26,38,1
604,32,32,0
605,34,30,0
606,19,45,1
607,16,48,1
608,27,37,1
609,18,46,1
610,11,53,1
611,50,14,0
612,46,18,0
613,7,57,1
614,28,36,1
615,36,28,0
616,31,33,1
617,18,46,1
618,14,50,1
619,37,27,0
620,27,37,1
621,23,41,1
622,19,45,1
623,18,46,1
624,43,21,0
625,26,38,1
626,47,17,0
627,28,36,1
628,23,41,1
629,24,40,1
630,27,37,1
631,27,37,1
632,34,30,0
633,40,24,0
634,28,36,1
635,35,29,0
636,39,25,0
637,29,35,1
638,39,25,0
639,30,34,1
640,24,40,1
641,39,25,0
642,38,26,0
643,52,12,0
644,12,52,1
645,35,29,0
646,23,41,1
647,50,14,0
648,23,41,1
649,18,46,1
650,24,40,1
651,19,45,1
652,22,42,1
653,27,37,1
654,26,38,1
655,34,30,0
656,38,26,0
657,30,34,1
658,36,28,0
659,33,31,0
660,41,23,0
661,33,31,0
662,42,22,0
663,25,39,1
664,31,33,1
665,21,43,1
666,37,27,0
667,43,21,0
668,22,42,1
669,33,31,0
670,46,18,0
671,41,23,0
672,21,43,1
673,38,26,0
674,33,31,0
675,25,39,1
676,36,28,0
677,34,30,0
678,18,46,1
679,34,30,0
680,35,29,0
681,52,12,0
682,32,32,0
683,31,33,1
684,21,43,1
685,11,53,1
686,39,25,0
687,30,34,1
688,34,30,0
689,47,17,0
690,34,30,0
691,46,18,0
692,30,34,1
693,45,19,0
694,27,37,1
695,32,32,0
696,26,38,1
697,36,28,0
698,35,29,0
699,34,30,0
700,24,40,1
701,22,42,1
702,41,23,0
703,27,37,1
704,30,34,1
705,50,14,0
706,43,21,0
707,23,41,1
708,23,41,1
709,14,50,1
710,32,32,0
711,29,35,1
712,22,42,1
713,50,14,0
714,31,33,1
715,21,43,1
716,43,21,0
717,38,26,0
718,28,36,1
719,25,39,1
720,40,24,0
721,27,37,1
722,38,26,0
723,30,34,1
724,27,37,1
725,40,24,0
726,31,33,1
727,17,47,1
728,54,9,0
729,20,44,1
730,41,23,0
731,42,22,0
732,33,31,0
733,50,14,0
734,31,33,1
735,33,31,0
736,34,30,0
737,37,27,0
738,37,27,0
739,29,35,1
740,34,30,0
741,34,30,0
742,14,50,1
743,26,38,1
744,28,36,1
745,25,39,1
746,40,24,0
747,35,29,0
748,40,24,0
749,42,22,0
750,37,27,0
751,25,39,1
752,25,39,1
753,22,42,1
754,30,34,1
